,loss
319,-0.3910364806652069
320,-0.3987460732460022
321,-0.3678513765335083
322,-0.4134093225002289
323,-0.3704337477684021
324,-0.4057564437389374
325,-0.3775516450405121
326,-0.38713815808296204
327,-0.3866021931171417
328,-0.3779338002204895
329,-0.3895423412322998
330,-0.4046662747859955
331,-0.3747587203979492
332,-0.41249552369117737
333,-0.3861486613750458
334,-0.42248401045799255
335,-0.3863750398159027
336,-0.39177289605140686
337,-0.3848305940628052
338,-0.40342625975608826
339,-0.3750217854976654
340,-0.40733614563941956
341,-0.37094902992248535
342,-0.3918716311454773
343,-0.4142425060272217
344,-0.390487939119339
345,-0.36163467168807983
346,-0.4101730287075043
347,-0.39347320795059204
348,-0.38880953192710876
349,-0.37203165888786316
350,-0.40777283906936646
351,-0.3782823979854584
352,-0.32732388377189636
353,-0.355195552110672
354,-0.3905254304409027
355,-0.3375515937805176
356,-0.39057013392448425
357,-0.39631128311157227
358,-0.4021930694580078
359,-0.38832852244377136
360,-0.3980672061443329
361,-0.3748171627521515
362,-0.3723534643650055
363,-0.35949334502220154
364,-0.37354254722595215
365,-0.3681119680404663
366,-0.4083089828491211
367,-0.38163307309150696
368,-0.39209792017936707
369,-0.376046746969223
370,-0.3658280074596405
371,-0.3845010995864868
372,-0.3581782877445221
373,-0.39018714427948
374,-0.3928515911102295
375,-0.3886794447898865
